,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,other_info
0,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [4, 0, 3, 3, 4, 1, 3, 3, 2, 4, 2, 3, 1, 3, 3], [0, 0, 2], [3, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 2]]",1.0479466547569887,8,x[3]+x[5]/((x[0]+x[2])/(_log_(_log_(Constant)/((x[0]*x[0])*x[5]))*x[5])*x[5]),"[1, 15, 3, 2, 7, 3]",x[3]+x[5]/((x[0]+x[2])/(_log_(_log_(0.5942250656041724)/((x[0]*x[0])*x[5]))*x[5])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [1, 3, 3], [1], [], [1, 0], [3]]",1.0769261634187102,5,(x[3]-x[0]),"[1, 3, 1, 0, 2, 1]",(x[3]-x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [2, 2, 1, 0, 0, 3, 3, 1, 3, 3, 2, 1, 3, 3], [3, 1, 3, 4, 4], [4, 2, 2], [2, 2, 0, 0, 2, 2], []]",1.244238508628598,8,_inv_(_exp_((Constant|_div_|Constant-(x[0]|_div_|x[0])**_exp_((Constant**Constant))))),"[1, 14, 5, 3, 6, 0]",_inv_(_exp_((0.5942250656041724|_div_|0.723323292631134-(x[0]|_div_|x[0])**_exp_((0.08992457266499854**0.08558322728806267))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 2, 3, 3], [2], [4], [0, 1], [3]]",1.4573964991094779,5,_inv_(x[0])*x[3],"[1, 4, 1, 1, 2, 1]",_inv_(x[0])*x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [1, 3, 3], [2], [], [0, 0], []]",1.8855916129323307,4,(x[0]*x[0]),"[1, 3, 1, 0, 2, 0]",(x[0]*x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
10,"[[0], [2, 4, 2, 3, 4, 3, 2, 2, 3], [], [2, 3, 4, 2], [1, 2, 0], [4]]",2.0427882320957953,8,_exp_(_log_(x[4])/(Constant/(_inv_(_exp_(x[0]))*x[5])*x[5])),"[1, 9, 0, 4, 3, 1]",_exp_(_log_(x[4])/(0.5942250656041724/(_inv_(_exp_(x[0]))*x[5])*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [2, 3], [], [2], [2], []]",2.136939326152884,4,_exp_(Constant),"[1, 2, 0, 1, 1, 0]",_exp_(0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
13,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
14,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
15,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
16,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
17,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
18,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
19,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
20,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
21,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
22,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
23,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
24,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
25,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
26,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
27,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
28,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
29,"[[0], [2, 3], [], [3], [1], [4]]",2.1846272071708634,5,_log_(x[4]),"[1, 2, 0, 1, 1, 1]",_log_(x[4]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
30,"[[0], [2, 2, 2, 3], [], [2, 0, 0], [1], [1]]",2.1965572318909548,7,_exp_(sin(sin(x[1]))),"[1, 4, 0, 3, 1, 1]",_exp_(sin(sin(x[1]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
31,"[[0], [1, 3, 3], [1], [], [0, 2], []]",2.2284638989299554,4,(x[0]-Constant),"[1, 3, 1, 0, 2, 0]",(x[0]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
32,"[[0], [0, 0, 3, 1, 1, 0, 3, 3, 4, 3, 3, 1, 3, 2, 3, 1, 0, 4, 0, 3, 3, 3, 1, 1, 3, 3, 3, 4, 2, 0, 3, 3, 4, 0, 3, 3, 3], [4, 2, 2, 0, 1, 4, 1, 1, 3, 0, 0, 4, 2], [1, 1], [0, 2, 0, 0, 1, 0, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2], [3, 2]]",2.2598021422538697,9,x[0]**((Constant*x[0]*x[0]/(x[3]*x[5]))+(x[0]-cos(x[2])))**(x[0]-x[0]/(Constant*x[5])-((Constant|_div_|Constant)+Constant)+cos(x[0]**x[0])/(x[0]*x[0]/(Constant*x[5])*x[5])),"[1, 37, 13, 2, 18, 2]",x[0]**((0.5942250656041724*x[0]*x[0]/(x[3]*x[5]))+(x[0]-cos(x[2])))**(x[0]-x[0]/(0.723323292631134*x[5])-((0.08992457266499854|_div_|0.08558322728806267)+0.33794059917606123)+cos(x[0]**x[0])/(x[0]*x[0]/(0.08756503566974927*x[5])*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
33,"[[0], [1, 3, 0, 1, 0, 2, 3, 0, 3, 3, 3, 1, 2, 4, 3, 3, 1, 3, 2, 3], [1, 4, 0, 3, 4, 3, 2], [0, 4, 1], [0, 1, 2, 1, 0, 1, 1, 2, 2], [5, 4, 4, 1]]",2.2907218271857945,9,(x[0]-(sin(x[5])**Constant+x[4]|_div_|x[0])**(_inv_(x[4]/(x[1]*x[5]))|_div_|(Constant*cos(Constant)))),"[1, 20, 7, 3, 9, 4]",(x[0]-(sin(x[5])**0.5942250656041724+x[4]|_div_|x[0])**(_inv_(x[4]/(x[1]*x[5]))|_div_|(0.723323292631134*cos(0.08992457266499854)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
34,"[[0], [2, 2, 4, 0, 2, 3, 3, 3], [3], [0, 2, 2], [2, 0, 2], []]",2.2969326525480893,8,sin(_exp_(_exp_(Constant)|_div_|x[0]/(Constant*x[5]))),"[1, 8, 1, 3, 3, 0]",sin(_exp_(_exp_(0.5942250656041724)|_div_|x[0]/(0.723323292631134*x[5]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
35,"[[0], [2, 0, 4, 0, 2, 3, 3, 0, 2, 3, 0, 3, 3, 3], [0, 1, 2, 2], [3, 1, 3], [1, 0, 1, 1, 1, 2], [0, 0, 2, 4]]",2.3122548670273706,9,_log_(cos(x[0])+x[0]/(_log_(x[0])-x[2]*x[4]*x[5])*Constant),"[1, 14, 4, 3, 6, 4]",_log_(cos(x[0])+x[0]/(_log_(x[0])-x[2]*x[4]*x[5])*0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
36,"[[0], [2, 3], [], [4], [1], [0]]",2.313353242987935,5,_inv_(x[0]),"[1, 2, 0, 1, 1, 1]",_inv_(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
37,"[[0], [0, 2, 2, 1, 3, 2, 3, 2, 0, 2, 4, 3, 3, 3], [4, 3, 3], [3, 3, 1, 1, 4], [1, 0, 1, 2, 0], [2, 5]]",2.3147192658798574,9,_log_(_log_((x[2]**cos(x[0]))))|_div_|cos(_inv_(x[5]/(Constant*x[5]))|_div_|x[0]),"[1, 14, 3, 5, 5, 2]",_log_(_log_((x[2]**cos(x[0]))))|_div_|cos(_inv_(x[5]/(0.5942250656041724*x[5]))|_div_|x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
38,"[[0], [0, 3, 3], [0], [], [2, 1], [5]]",2.3210500638282796,5,Constant+x[5],"[1, 3, 1, 0, 2, 1]",0.5942250656041724+x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
39,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
40,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
41,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
42,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
43,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
44,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
45,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
46,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
47,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
48,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
49,"[[0], [2, 2, 3], [], [0, 4], [0], []]",2.3247494288043398,5,sin(_inv_(x[0])),"[1, 3, 0, 2, 1, 0]",sin(_inv_(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
50,"[[0], [1, 3, 2, 3], [1], [4], [2, 1], [2]]",2.3259973396303293,6,(Constant-_inv_(x[2])),"[1, 4, 1, 1, 2, 1]",(0.5942250656041724-_inv_(x[2])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
51,"[[0], [2, 3], [], [0], [2], []]",2.3271375567438226,4,sin(Constant),"[1, 2, 0, 1, 1, 0]",sin(0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
52,"[[0], [2, 3], [], [0], [2], []]",2.3271375567438226,4,sin(Constant),"[1, 2, 0, 1, 1, 0]",sin(0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
53,"[[0], [2, 1, 0, 3, 2, 3, 2, 0, 2, 3, 1, 3, 3], [0, 2, 0, 0], [3, 1, 3, 0], [0, 0, 0, 1, 1], [2, 1]]",2.3482805186009577,9,_log_((x[0]+cos(x[0])*_log_(sin(x[0])+(x[2]+x[1])))),"[1, 13, 4, 4, 5, 2]",_log_((x[0]+cos(x[0])*_log_(sin(x[0])+(x[2]+x[1])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
54,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
55,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
56,"[[0], [4, 3, 4, 4, 0, 2, 3, 2, 3, 3, 0, 0, 2, 3, 0, 3, 3, 1, 0, 3, 3, 0, 3, 3], [1, 0, 2, 1, 4, 2, 3], [0, 1, 3], [2, 0, 0, 2, 2, 0, 1, 2, 2, 2, 2], [5]]",2.364446905335438,9,Constant/(sin(x[0])-cos(x[0])/(Constant*x[5])/(_log_(Constant)+x[0]*x[5]-(Constant**Constant*Constant|_div_|Constant)*x[5])*x[5]),"[1, 24, 7, 3, 11, 1]",0.5942250656041724/(sin(x[0])-cos(x[0])/(0.723323292631134*x[5])/(_log_(0.08992457266499854)+x[0]*x[5]-(0.08558322728806267**0.33794059917606123*0.08756503566974927|_div_|0.8433798356967075)*x[5])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
57,"[[0], [4, 0, 3, 0, 4, 3, 1, 3, 3, 1, 1, 3, 3, 2, 3, 4, 1, 0, 3, 2, 3, 0, 1, 3, 3, 2, 3, 4, 1, 0, 3, 3, 3, 2, 3], [3, 2, 2, 0, 4, 0, 2, 2, 0, 3, 1], [0, 2, 4, 4], [0, 1, 1, 1, 1, 2, 0, 1, 1, 0, 2, 1, 0, 1, 1, 1], [4, 1, 2, 5, 1, 5, 4, 3, 2, 4]]",2.384009650622686,9,x[0]|_div_|x[4]/((x[1]*x[2])*x[5])*((x[5]+Constant)**sin(x[0]))/((x[1]+_exp_(x[5])*(x[0]*Constant)+_inv_(x[4]))/((x[0]|_div_|x[3]-x[2])/(_inv_(x[4])*x[5])*x[5])*x[5]),"[1, 35, 11, 4, 16, 10]",x[0]|_div_|x[4]/((x[1]*x[2])*x[5])*((x[5]+0.5942250656041724)**sin(x[0]))/((x[1]+_exp_(x[5])*(x[0]*0.723323292631134)+_inv_(x[4]))/((x[0]|_div_|x[3]-x[2])/(_inv_(x[4])*x[5])*x[5])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
58,"[[0], [1, 0, 4, 4, 3, 0, 3, 3, 3, 0, 2, 1, 3, 3, 3, 3], [4, 4, 0, 1, 2], [3], [0, 1, 1, 2, 0, 1, 1, 0], [2, 4, 1, 5]]",2.389636908041572,9,(x[0]/(x[2]**x[4]*x[5])/(Constant*x[5])**_log_((x[0]+x[1]))-x[5]*x[0]),"[1, 16, 5, 1, 8, 4]",(x[0]/(x[2]**x[4]*x[5])/(0.5942250656041724*x[5])**_log_((x[0]+x[1]))-x[5]*x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
59,"[[0], [1, 3, 0, 1, 0, 2, 3, 1, 3, 3, 2, 0, 3, 3, 4, 0, 3, 3, 0, 3, 3], [3, 1, 4, 0, 4, 3, 0, 1], [2, 1], [2, 0, 1, 0, 0, 2, 1, 1, 0, 2], [4, 0, 1]]",2.396391353015192,9,(Constant|_div_|(_exp_(x[0])-(x[4]**x[0])+cos(x[0]**Constant))|_div_|x[0]+x[1]/(x[0]-Constant*x[5])),"[1, 21, 8, 2, 10, 3]",(0.5942250656041724|_div_|(_exp_(x[0])-(x[4]**x[0])+cos(x[0]**0.723323292631134))|_div_|x[0]+x[1]/(x[0]-0.08992457266499854*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
60,"[[0], [2, 0, 2, 3, 1, 1, 3, 1, 3, 3, 1, 3, 3], [0, 2, 2, 2, 3], [0, 2], [0, 1, 1, 1, 1, 0], [2, 5, 2, 2]]",2.408903635025446,9,sin(_exp_(x[0])+((x[2]*(x[5]*x[2]))*(x[2]|_div_|x[0]))),"[1, 13, 5, 2, 6, 4]",sin(_exp_(x[0])+((x[2]*(x[5]*x[2]))*(x[2]|_div_|x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
61,"[[0], [2, 3], [], [1], [0], []]",2.412048425274269,4,cos(x[0]),"[1, 2, 0, 1, 1, 0]",cos(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
62,"[[0], [3], [], [], [1], [5]]",2.41260699404653,4,x[5],"[1, 1, 0, 0, 1, 1]",x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
63,"[[0], [3], [], [], [1], [5]]",2.41260699404653,4,x[5],"[1, 1, 0, 0, 1, 1]",x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
64,"[[0], [3], [], [], [1], [5]]",2.41260699404653,4,x[5],"[1, 1, 0, 0, 1, 1]",x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
65,"[[0], [3], [], [], [1], [5]]",2.41260699404653,4,x[5],"[1, 1, 0, 0, 1, 1]",x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
66,"[[0], [0, 0, 1, 2, 1, 3, 3, 1, 3, 0, 3, 3, 1, 1, 4, 3, 3, 3, 3, 4, 0, 3, 0, 1, 3, 3, 4, 3, 3, 4, 3, 2, 1, 3, 3], [3, 3, 0, 1, 0, 3, 0, 3, 1, 1, 4, 1], [1, 0], [1, 2, 2, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2, 0, 1, 2, 2], [0, 0, 4, 5, 5]]",2.4128490821341,9,(cos((x[0]|_div_|Constant))|_div_|(Constant+Constant-x[0]))+((x[0]/(x[0]*x[5])|_div_|x[0])+Constant)|_div_|x[0]-(x[4]-x[5])**Constant/(x[0]*x[5])/(x[5]/(sin((Constant-Constant))*x[5])*x[5]),"[1, 35, 12, 2, 17, 5]",(cos((x[0]|_div_|0.5942250656041724))|_div_|(0.723323292631134+0.08992457266499854-x[0]))+((x[0]/(x[0]*x[5])|_div_|x[0])+0.08558322728806267)|_div_|x[0]-(x[4]-x[5])**0.33794059917606123/(x[0]*x[5])/(x[5]/(sin((0.08756503566974927-0.8433798356967075))*x[5])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
67,"[[0], [4, 1, 1, 1, 0, 3, 3, 0, 3, 3, 3, 2, 2, 3, 4, 4, 0, 2, 3, 0, 3, 3, 3, 3], [1, 3, 2, 3, 0, 0, 2], [0, 4, 1], [1, 0, 1, 1, 1, 2, 1, 2, 1, 2, 1], [1, 0, 3, 3, 4, 2, 0]]",2.4134234671076054,9,(((x[1]-x[0]|_div_|x[0]*x[3])|_div_|x[3])+sin(_inv_(Constant)))/(cos(x[4])+Constant*x[2]/(Constant*x[5])/(x[0]*x[5])*x[5]),"[1, 24, 7, 3, 11, 7]",(((x[1]-x[0]|_div_|x[0]*x[3])|_div_|x[3])+sin(_inv_(0.5942250656041724)))/(cos(x[4])+0.723323292631134*x[2]/(0.08992457266499854*x[5])/(x[0]*x[5])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
68,"[[0], [4, 1, 4, 3, 1, 0, 3, 3, 3, 2, 3, 4, 1, 1, 2, 3, 4, 3, 3, 3, 2, 0, 1, 3, 3, 3], [0, 2, 4, 4, 4, 0, 3], [0, 2, 0], [0, 1, 0, 1, 0, 1, 2, 0, 0, 0, 2, 2], [0, 1, 2]]",2.4134284422235392,9,(x[0]/((x[0]+x[0]*x[1])*x[5])**sin(x[0]))/(((_exp_(x[2])**Constant/(x[0]*x[5]))**x[0])/(sin((x[0]+Constant)|_div_|Constant)*x[5])*x[5]),"[1, 26, 7, 3, 12, 3]",(x[0]/((x[0]+x[0]*x[1])*x[5])**sin(x[0]))/(((_exp_(x[2])**0.5942250656041724/(x[0]*x[5]))**x[0])/(sin((x[0]+0.723323292631134)|_div_|0.08992457266499854)*x[5])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
69,"[[0], [4, 3, 0, 1, 4, 3, 2, 3, 4, 3, 3, 3], [4, 3], [1], [1, 1, 0, 1, 1, 1], [0, 5, 3, 2, 0]]",2.413428442234673,8,x[0]/((x[5]/(cos(x[0])*x[5])**x[3]/(x[2]*x[5]))|_div_|x[0]*x[5]),"[1, 12, 2, 1, 6, 5]",x[0]/((x[5]/(cos(x[0])*x[5])**x[3]/(x[2]*x[5]))|_div_|x[0]*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
70,"[[0], [2, 0, 4, 2, 0, 3, 3, 3, 3], [2, 2], [3, 3], [1, 1, 1, 1], [2, 5, 3, 1]]",2.413428442234673,9,_log_(_log_(x[2]*x[5])/(x[3]*x[5])*x[1]),"[1, 9, 2, 2, 4, 4]",_log_(_log_(x[2]*x[5])/(x[3]*x[5])*x[1]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
